2026-03-03 18:54:02.702 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 9, Sub index: 8, Edge distance: 22
2026-03-03 18:54:02.702 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 9, Sub index: 10, Edge distance: 11
2026-03-03 18:54:02.702 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:274 - Obj index: 9, edge_dist_diff > 2, matching to subject with min edge distance, index: 10
2026-03-03 18:54:02.956 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 31604.55-2023食品安全国家标准 食品接触材料及制品 异噻唑啉酮类化合物迁移量的测定/vlm
2026-03-03 18:54:02.956 | INFO     | __main__:do_parse:127 - Done [5/1758] GB 31604.55-2023食品安全国家标准 食品接触材料及制品 异噻唑啉酮类化合物迁移量的测定
2026-03-03 18:54:02.956 | INFO     | __main__:do_parse:112 - Processing [6/1758] GB 1886.100-2015《食品安全国家标准 食品添加剂 乙二胺四乙酸二钠》第1号修改单
2026-03-03 18:54:02.958 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 6)]
2026-03-03 18:54:06.566 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.61, speed: 1.939 images/s
2026-03-03 18:54:13.358 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 6.79, speed: 1.031 page/s
2026-03-03 18:54:13.554 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.100-2015《食品安全国家标准 食品添加剂 乙二胺四乙酸二钠》第1号修改单/vlm
2026-03-03 18:54:13.554 | INFO     | __main__:do_parse:127 - Done [6/1758] GB 1886.100-2015《食品安全国家标准 食品添加剂 乙二胺四乙酸二钠》第1号修改单
2026-03-03 18:54:13.554 | INFO     | __main__:do_parse:112 - Processing [7/1758] GB 1886.191-2016《食品安全国家标准 食品添加剂 柠檬醛》第1号修改单
2026-03-03 18:54:13.556 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 6)]
2026-03-03 18:54:16.736 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.18, speed: 2.201 images/s
2026-03-03 18:54:22.796 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 6.06, speed: 1.155 page/s
2026-03-03 18:54:22.846 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 13, Sub index: 12, Edge distance: 10
2026-03-03 18:54:22.846 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 13, Sub index: 14, Edge distance: 109.37092849564732
2026-03-03 18:54:22.846 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:274 - Obj index: 13, edge_dist_diff > 2, matching to subject with min edge distance, index: 12
2026-03-03 18:54:23.000 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.191-2016《食品安全国家标准 食品添加剂 柠檬醛》第1号修改单/vlm
2026-03-03 18:54:23.000 | INFO     | __main__:do_parse:127 - Done [7/1758] GB 1886.191-2016《食品安全国家标准 食品添加剂 柠檬醛》第1号修改单
2026-03-03 18:54:23.000 | INFO     | __main__:do_parse:112 - Processing [8/1758] GB 31656.24-2025
2026-03-03 18:54:23.002 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 10)]
2026-03-03 18:54:26.907 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.9, speed: 2.821 images/s
2026-03-03 18:54:38.731 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 11.82, speed: 0.931 page/s
2026-03-03 18:54:39.007 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 31656.24-2025/vlm
2026-03-03 18:54:39.007 | INFO     | __main__:do_parse:127 - Done [8/1758] GB 31656.24-2025
2026-03-03 18:54:39.007 | INFO     | __main__:do_parse:112 - Processing [9/1758] GB 1886.372-2023食品安全国家标准 食品添加剂  L-蛋氨酰基甘氨酸盐酸盐
2026-03-03 18:54:39.011 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 5)]
2026-03-03 18:54:42.238 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.23, speed: 1.858 images/s
2026-03-03 18:54:48.488 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 6.25, speed: 0.96 page/s
2026-03-03 18:54:48.694 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.372-2023食品安全国家标准 食品添加剂  L-蛋氨酰基甘氨酸盐酸盐/vlm
2026-03-03 18:54:48.694 | INFO     | __main__:do_parse:127 - Done [9/1758] GB 1886.372-2023食品安全国家标准 食品添加剂  L-蛋氨酰基甘氨酸盐酸盐
2026-03-03 18:54:48.694 | INFO     | __main__:do_parse:112 - Processing [10/1758] GB 1886.268-2016 食品安全国家标准 食品添加剂 罗汉果酊
2026-03-03 18:54:48.696 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 3)]
2026-03-03 18:54:52.055 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.36, speed: 1.19 images/s
2026-03-03 18:54:56.864 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 4.81, speed: 0.832 page/s
2026-03-03 18:54:56.998 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.268-2016 食品安全国家标准 食品添加剂 罗汉果酊/vlm
2026-03-03 18:54:56.998 | INFO     | __main__:do_parse:127 - Done [10/1758] GB 1886.268-2016 食品安全国家标准 食品添加剂 罗汉果酊
2026-03-03 18:54:56.998 | INFO     | __main__:do_parse:112 - Processing [11/1758] GB 1886.83-2016 食品安全国家标准 食品添加剂 铵磷脂
2026-03-03 18:54:57.000 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 5)]
2026-03-03 18:55:00.188 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.19, speed: 1.881 images/s
2026-03-03 18:55:06.885 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 6.7, speed: 0.896 page/s
2026-03-03 18:55:07.097 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.83-2016 食品安全国家标准 食品添加剂 铵磷脂/vlm
2026-03-03 18:55:07.097 | INFO     | __main__:do_parse:127 - Done [11/1758] GB 1886.83-2016 食品安全国家标准 食品添加剂 铵磷脂
2026-03-03 18:55:07.097 | INFO     | __main__:do_parse:112 - Processing [12/1758] GB 5009.138-2024 食品安全国家标准 食品中镍的测定
2026-03-03 18:55:07.100 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 8)]
2026-03-03 18:55:12.910 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 5.81, speed: 1.549 images/s
2026-03-03 18:55:21.214 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 8.3, speed: 1.084 page/s
2026-03-03 18:55:21.639 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 5009.138-2024 食品安全国家标准 食品中镍的测定/vlm
2026-03-03 18:55:21.639 | INFO     | __main__:do_parse:127 - Done [12/1758] GB 5009.138-2024 食品安全国家标准 食品中镍的测定
2026-03-03 18:55:21.639 | INFO     | __main__:do_parse:112 - Processing [13/1758] GB 5009.8-2023食品安全国家标准 食品中果糖、葡萄糖、蔗糖、麦芽糖、乳糖的测定
2026-03-03 18:55:21.657 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 3), (4, 7), (8, 11), (12, 18)]
2026-03-03 18:55:26.474 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 4.82, speed: 3.942 images/s
2026-03-03 18:55:48.604 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 22.13, speed: 0.859 page/s
2026-03-03 18:55:48.823 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 6, Sub index: 5, Edge distance: 20
2026-03-03 18:55:48.823 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 6, Sub index: 7, Edge distance: 10
2026-03-03 18:55:48.823 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:274 - Obj index: 6, edge_dist_diff > 2, matching to subject with min edge distance, index: 7
2026-03-03 18:55:49.239 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 5009.8-2023食品安全国家标准 食品中果糖、葡萄糖、蔗糖、麦芽糖、乳糖的测定/vlm
2026-03-03 18:55:49.239 | INFO     | __main__:do_parse:127 - Done [13/1758] GB 5009.8-2023食品安全国家标准 食品中果糖、葡萄糖、蔗糖、麦芽糖、乳糖的测定
2026-03-03 18:55:49.239 | INFO     | __main__:do_parse:112 - Processing [14/1758] GB 29981-2013食品添加剂 N-乙基-2-异丙基-5-甲基-环己烷甲酰胺
2026-03-03 18:55:49.242 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 4)]
2026-03-03 18:55:53.642 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 4.4, speed: 1.136 images/s
2026-03-03 18:55:58.703 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 5.06, speed: 0.988 page/s
2026-03-03 18:55:58.871 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 29981-2013食品添加剂 N-乙基-2-异丙基-5-甲基-环己烷甲酰胺/vlm
2026-03-03 18:55:58.871 | INFO     | __main__:do_parse:127 - Done [14/1758] GB 29981-2013食品添加剂 N-乙基-2-异丙基-5-甲基-环己烷甲酰胺
2026-03-03 18:55:58.871 | INFO     | __main__:do_parse:112 - Processing [15/1758] GB 1886.379-2024 食品安全国家标准 食品添加剂 皂树皮提取物
2026-03-03 18:55:58.873 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 7)]
2026-03-03 18:56:02.216 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.34, speed: 2.395 images/s
2026-03-03 18:56:10.852 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 8.63, speed: 0.927 page/s
2026-03-03 18:56:11.088 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 1886.379-2024 食品安全国家标准 食品添加剂 皂树皮提取物/vlm
2026-03-03 18:56:11.088 | INFO     | __main__:do_parse:127 - Done [15/1758] GB 1886.379-2024 食品安全国家标准 食品添加剂 皂树皮提取物
2026-03-03 18:56:11.088 | INFO     | __main__:do_parse:112 - Processing [16/1758] GB 31655-2021 食品安全国家标准 哺乳动物体内碱性彗星试验
2026-03-03 18:56:11.095 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 7)]
2026-03-03 18:56:14.393 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.3, speed: 2.424 images/s
